Name,Content Type,Removed in Version,Reason,Replacement Content,Replacement Content Link
ESCU - Office Document Spawned Child Process To Download - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Office Product Spawned Child Process For Download - Rule,https://research.splunk.com/endpoint/f02b64b8-cbea-4f75-bf77-7a05111566b1
ESCU - Office Product Spawn CMD Process - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning BITSAdmin - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning CertUtil - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning MSHTA - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning Rundll32 with no DLL - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Office Product Spawned Rundll32 With No DLL - Rule,https://research.splunk.com/endpoint/f28e787e-69ca-480e-9f98-ab970e6d4bcc
ESCU - Office Product Spawning Windows Script Host - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning Wmic - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Writing cab or inf - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Office Product Dropped Cab or Inf File - Rule,https://research.splunk.com/endpoint/dbdd251e-dd45-4ec9-a555-f5e151391746
ESCU - Office Spawning Control - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Office Product Spawned Control - Rule,https://research.splunk.com/endpoint/081c485d-ac8d-4bee-ad4c-525772fead4d
ESCU - Okta Account Locked Out - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Okta Multiple Accounts Locked Out - Rule,https://research.splunk.com/application/a511426e-184f-4de6-8711-cfd2af29d1e1
ESCU - Okta Account Lockout Events - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Okta Multiple Accounts Locked Out - Rule,https://research.splunk.com/application/a511426e-184f-4de6-8711-cfd2af29d1e1
ESCU - Okta Failed SSO Attempts - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Okta Unauthorized Access to Application - Rule,https://research.splunk.com/application/5f661629-9750-4cb9-897c-1f05d6db8727
ESCU - Okta ThreatInsight Login Failure with High Unknown users - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Okta ThreatInsight Suspected PasswordSpray Attack - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Okta ThreatInsight Threat Detected - Rule,https://research.splunk.com/application/140504ae-5fe2-4d65-b2bc-a211813fbca6
ESCU - Okta Two or More Rejected Okta Pushes - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Okta Multiple Failed MFA Requests For User - Rule,https://research.splunk.com/application/826dbaae-a1e6-4c8c-b384-d16898956e73
ESCU - Open Redirect in Splunk Web - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Osquery pack - ColdRoot detection - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Password Policy Discovery with Net - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Password Policy Discovery with Net - Rule,https://research.splunk.com/endpoint/e52f7865-be78-46bf-b7ed-150fbe447613
ESCU - Processes created by netsh - Rule,Detection,5.2.0,Updated to a new detection name,ESCU - Processes launching netsh - Rule,https://research.splunk.com/endpoint/b89919ed-fe5f-492c-b139-95dbb162040e
ESCU - Prohibited Software On Endpoint - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Attacker Tools On Endpoint - Rule,https://research.splunk.com/endpoint/a51bfe1a-94f0-48cc-b4e4-16a110145893
ESCU - Reg exe used to hide files directories via registry keys - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Remote Registry Key modifications - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Remote System Discovery with Net - Rule,Detection,5.2.0,This analytic was focusing on 2 separate and unrelated type of threats or actions. PLease use the replacement content,ESCU - Windows Sensitive Group Discovery With Net - Rule,https://research.splunk.com/endpoint/d9eb7cda-5622-4722-bc88-7f2442f4b5af
ESCU - Scheduled tasks used in BadRabbit ransomware - Rule,Detection,5.2.0,Updated to a new detection name,ESCU - Scheduled Task Deleted Or Created via CMD - Rule,https://research.splunk.com/endpoint/d5af132c-7c17-439c-9d31-13d55340f36c
ESCU - Spectre and Meltdown Vulnerable Systems - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Splunk Enterprise Information Disclosure - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Changes to File Associations - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Email - UBA Anomaly - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious File Write - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Powershell Command-Line Arguments - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Malicious PowerShell Process - Encoded Command - Rule,https://research.splunk.com/endpoint/c4db14d9-7909-48b4-a054-aa14d89dbb19
ESCU - Suspicious Rundll32 Rename - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious writes to System Volume Information - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Uncommon Processes On Endpoint - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Attacker Tools On Endpoint - Rule,https://research.splunk.com/endpoint/a51bfe1a-94f0-48cc-b4e4-16a110145893
ESCU - Unsigned Image Loaded by LSASS - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Unsuccessful Netbackup backups - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Web Fraud - Account Harvesting - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Web Fraud - Anomalous User Clickspeed - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Web Fraud - Password Sharing Across Accounts - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Windows Command Shell Fetch Env Variables - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows List ENV Variables Via SET Command From Uncommon Parent - Rule,https://research.splunk.com/endpoint/aec157f4-8783-4584-aca6-754c4dc7fba9
ESCU - Windows DLL Search Order Hijacking Hunt - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,ESCU - Windows DLL Search Order Hijacking Hunt with Sysmon - Rule,https://research.splunk.com/endpoint/79c7d1fc-64c7-91be-a616-ccda752efe81
ESCU - Windows Lateral Tool Transfer RemCom - Rule,Detection,5.2.0,Updated to a new detection name,ESCU - Windows Service Execution RemCom - Rule,https://research.splunk.com/endpoint/7e3d68db-ea4d-419b-adbd-e14a525ecf09
ESCU - Windows MSIExec With Network Connections - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows HTTP Network Communication From MSIExec - Rule,https://research.splunk.com/endpoint/b0fd38c7-f71a-43a2-870e-f3ca06bcdd99
ESCU - Windows Modify Registry Reg Restore - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Registry Entries Restored Via Reg - Rule,https://research.splunk.com/endpoint/a17af481-e2ad-494c-9da6-afb4d243a019
ESCU - Windows Network Share Interaction With Net - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Network Share Interaction Via Net - Rule,https://research.splunk.com/endpoint/e51fbdb0-0be0-474f-92ea-d289f71a695e
ESCU - Windows Office Product Spawning MSDT - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Office Product Spawned MSDT - Rule,https://research.splunk.com/endpoint/a3148fad-3734-4b7f-9a71-62f08d39fab1
ESCU - Windows Query Registry Reg Save - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Registry Entries Exported Via Reg - Rule,https://research.splunk.com/endpoint/466379bc-0f47-476c-8202-16ef38112e0d
ESCU - Windows Service Stop Via Net  and SC Application - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Windows Valid Account With Never Expires Password - Rule,Detection,5.2.0,Renamed and updated logic,ESCU - Windows Set Account Password Policy To Unlimited Via Net - Rule,https://research.splunk.com/endpoint/11f93009-8083-43fd-82a7-821fcbdc8342
ESCU - Windows connhost exe started forcefully - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Windows hosts file modification - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Winword Spawning Cmd - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Winword Spawning PowerShell - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Winword Spawning Windows Script Host - Rule,Detection,5.2.0,"The following analytics was deprecated in favour of a more generic approach. Where instead of creating specific analytic for every potentially suspicious child of an office product. We group them by threat level.
This would ease management and false positives tuning.",ESCU - Windows Office Product Spawned Uncommon Process - Rule,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - gcp detect oauth token abuse - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
AWS Cryptomining,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,Cloud Cryptomining,https://research.splunk.com/stories/cloud_cryptomining
AWS Suspicious Provisioning Activities,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,Suspicious Cloud Provisioning Activities,https://research.splunk.com/stories/suspicious_cloud_provisioning_activities
Common Phishing Frameworks,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
Container Implantation Monitoring and Investigation,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,Kubernetes Security,https://research.splunk.com/stories/kubernetes_security
Host Redirection,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
Kubernetes Sensitive Role Activity,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,Kubernetes Security,https://research.splunk.com/stories/kubernetes_security
Lateral Movement,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,Compromised User Account,https://research.splunk.com/stories/compromised_user_account
Monitor Backup Solution,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
Monitor for Unauthorized Software,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
Office 365 Detections,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,Office 365 Account Takeover,https://research.splunk.com/stories/office_365_account_takeover
Spectre And Meltdown Vulnerabilities,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
Suspicious AWS EC2 Activities,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,Suspicious Cloud Instance Activities,https://research.splunk.com/stories/suspicious_cloud_instance_activities
Unusual AWS EC2 Modifications,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,Suspicious Cloud Instance Activities,https://research.splunk.com/stories/suspicious_cloud_instance_activities
Web Fraud Detection,Story,5.2.0,Analytic Story deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
